Image Name,Results
SOB_M_PC-14-15687B-40-001.png,M
SOB_M_PC-14-15687B-40-002.png,M
SOB_M_PC-14-15687B-40-003.png,M
SOB_M_PC-14-15687B-40-004.png,M
SOB_M_PC-14-15687B-40-005.png,M
SOB_M_PC-14-15687B-40-006.png,M
SOB_M_PC-14-15687B-40-007.png,M
SOB_M_PC-14-15687B-40-008.png,M
SOB_M_PC-14-15687B-40-009.png,M
SOB_M_PC-14-15687B-40-010.png,M
SOB_M_PC-14-15687B-40-011.png,M
SOB_M_PC-14-15687B-40-012.png,B
SOB_M_PC-14-15687B-40-013.png,M
SOB_M_PC-14-15687B-40-014.png,M
SOB_M_PC-14-15687B-40-015.png,B
SOB_M_PC-14-15687B-40-016.png,B
SOB_M_PC-14-15687B-40-017.png,M
