Image Name,Results
SOB_B_A-14-22549AB-40-001.png,B
SOB_B_A-14-22549AB-40-002.png,B
SOB_B_A-14-22549AB-40-003.png,B
SOB_B_F-14-23222AB-40-016.png,B
SOB_B_F-14-23222AB-40-017.png,B
SOB_B_F-14-29960AB-40-001.png,B
SOB_B_F-14-29960AB-40-002.png,B
SOB_B_F-14-29960AB-40-008.png,B
SOB_B_F-14-29960AB-40-009.png,B
SOB_B_F-14-9133-40-001.png,B
SOB_B_TA-14-16184-40-001.png,B
SOB_B_TA-14-16184-40-008.png,B
SOB_B_TA-14-16184CD-40-001.png,B
SOB_B_TA-14-16184CD-40-002.png,B
SOB_B_TA-14-16184CD-40-007.png,B
SOB_B_TA-14-19854C-40-009.png,B
SOB_B_TA-14-19854C-40-010.png,B
SOB_B_TA-14-19854C-40-016.png,B
SOB_M_DC-14-14926-40-001.png,M
SOB_M_DC-14-14926-40-008.png,M
SOB_M_DC-14-14926-40-012.png,M
SOB_M_DC-14-5695-40-022.png,M
SOB_M_DC-14-5695-40-023.png,M
SOB_M_LC-14-13412-40-015.png,M
SOB_M_LC-14-13412-40-016.png,M
SOB_M_MC-14-16456-40-065.png,M
SOB_M_MC-14-16456-40-066.png,M
SOB_M_MC-14-16456-40-067.png,M
SOB_M_MC-14-16456-40-072.png,M
SOB_M_PC-14-19440-40-001.png,M
SOB_M_PC-14-19440-40-008.png,M
